name,category,file,width,height,transparent,notes,box
brand_logo_area,brand,brand/brand_logo_area.png,241,113,False,Logo style area from the asset sheet,"34,65,275,178"
brand_wave_blobs,brand,brand/brand_wave_blobs.png,292,83,False,Decorative pink/blue background wave and small motifs,"0,295,292,378"
product_room_shoes_card,products,products/product_room_shoes_card.png,204,219,False,,"303,62,507,281"
product_high_tech_sneaker_card,products,products/product_high_tech_sneaker_card.png,189,219,False,,"516,62,705,281"
product_custom_insole_card,products,products/product_custom_insole_card.png,173,219,False,,"714,62,887,281"
product_3d_printer_card,products,products/product_3d_printer_card.png,157,219,False,,"895,62,1052,281"
scene_woman_walking_city,scenes,scenes/scene_woman_walking_city.png,210,154,False,,"1080,50,1290,204"
scene_room_shoes_lifestyle,scenes,scenes/scene_room_shoes_lifestyle.png,215,154,False,,"1300,50,1515,204"
scene_phone_foot_scan,scenes,scenes/scene_phone_foot_scan.png,125,146,False,,"1080,214,1205,360"
scene_physio_consultation,scenes,scenes/scene_physio_consultation.png,124,146,False,,"1212,214,1336,360"
scene_team_meeting,scenes,scenes/scene_team_meeting.png,178,146,False,,"1340,214,1518,360"
foot_toe_space_circle,foot_comfort,foot_comfort/foot_toe_space_circle.png,85,135,False,,"18,420,103,555"
foot_gentle_hold_circle,foot_comfort,foot_comfort/foot_gentle_hold_circle.png,102,135,False,,"120,420,222,555"
foot_soft_sole_circle,foot_comfort,foot_comfort/foot_soft_sole_circle.png,97,135,False,,"236,420,333,555"
foot_comfort_walk_circle,foot_comfort,foot_comfort/foot_comfort_walk_circle.png,99,135,False,,"350,420,449,555"
process_user_research_icon,process,process/process_user_research_icon.png,86,85,False,,"489,420,575,505"
process_foot_measurement_icon,process,process/process_foot_measurement_icon.png,85,85,False,,"580,420,665,505"
process_3d_modeling_icon,process,process/process_3d_modeling_icon.png,80,85,False,,"675,420,755,505"
process_prototype_icon,process,process/process_prototype_icon.png,85,85,False,,"765,420,850,505"
process_physio_research_icon,process,process/process_physio_research_icon.png,83,85,False,,"865,420,948,505"
process_monitor_test_icon,process,process/process_monitor_test_icon.png,81,85,False,,"957,420,1038,505"
badge_in_development,badges,badges/badge_in_development.png,110,42,True,,"1094,424,1204,466"
badge_monitor_registration,badges,badges/badge_monitor_registration.png,134,42,True,,"1210,424,1344,466"
badge_prelaunch_product,badges,badges/badge_prelaunch_product.png,136,42,True,,"1354,424,1490,466"
decor_heart_line,decorations,decorations/decor_heart_line.png,67,55,True,,"1093,505,1160,560"
decor_sparkles,decorations,decorations/decor_sparkles.png,50,55,True,,"1160,505,1210,560"
decor_footprints_blue,decorations,decorations/decor_footprints_blue.png,62,60,True,,"1230,500,1292,560"
decor_wave_blue,decorations,decorations/decor_wave_blue.png,78,55,True,,"1312,505,1390,560"
decor_dot_grid_pastel,decorations,decorations/decor_dot_grid_pastel.png,80,60,True,,"1410,500,1490,560"
decor_blob_pink,decorations,decorations/decor_blob_pink.png,142,70,True,,"1088,590,1230,660"
decor_blob_gradient,decorations,decorations/decor_blob_gradient.png,158,70,True,,"1232,590,1390,660"
decor_blob_peach,decorations,decorations/decor_blob_peach.png,136,70,True,,"1392,590,1528,660"
value_toe_space_card,value_cards,value_cards/value_toe_space_card.png,244,119,False,拇趾周りのゆとり,"22,648,266,767"
value_stable_hold_card,value_cards,value_cards/value_stable_hold_card.png,246,119,False,独自構造での足の固定,"282,648,528,767"
value_3d_custom_card,value_cards,value_cards/value_3d_custom_card.png,257,119,False,3Dプリンターを使った低コストオーダーメイド,"543,648,800,767"
value_physio_research_card,value_cards,value_cards/value_physio_research_card.png,245,119,False,理学療法士との共同研究,"815,648,1060,767"
value_icon_toe_space,value_icons,value_icons/value_icon_toe_space.png,67,79,True,,"34,667,101,746"
value_icon_stable_hold,value_icons,value_icons/value_icon_stable_hold.png,71,79,True,,"294,667,365,746"
value_icon_3d_custom,value_icons,value_icons/value_icon_3d_custom.png,70,79,True,,"562,667,632,746"
value_icon_physio_research,value_icons,value_icons/value_icon_physio_research.png,70,79,True,,"824,667,894,746"
icon_home,icons,icons/icon_home.png,70,70,True,,"23,805,93,875"
icon_concept,icons,icons/icon_concept.png,70,70,True,,"101,805,171,875"
icon_products,icons,icons/icon_products.png,70,70,True,,"181,805,251,875"
icon_research_development,icons,icons/icon_research_development.png,70,70,True,,"256,805,326,875"
icon_materials_structure,icons,icons/icon_materials_structure.png,70,70,True,,"331,805,401,875"
icon_measurement_app,icons,icons/icon_measurement_app.png,70,70,True,,"411,805,481,875"
icon_monitor,icons,icons/icon_monitor.png,70,70,True,,"487,805,557,875"
icon_collaboration,icons,icons/icon_collaboration.png,70,70,True,,"561,805,631,875"
icon_news,icons,icons/icon_news.png,70,70,True,,"635,805,705,875"
icon_contact,icons,icons/icon_contact.png,70,70,True,,"709,805,779,875"
icon_support,icons,icons/icon_support.png,70,70,True,,"782,805,852,875"
icon_quality_of_life,icons,icons/icon_quality_of_life.png,70,70,True,,"856,805,926,875"
icon_gentleness,icons,icons/icon_gentleness.png,70,70,True,,"930,805,1000,875"
icon_design,icons,icons/icon_design.png,70,70,True,,"1002,805,1072,875"
icon_toe_space,icons,icons/icon_toe_space.png,70,70,True,,"17,900,87,970"
icon_hold_structure,icons,icons/icon_hold_structure.png,70,70,True,,"94,900,164,970"
icon_insole,icons,icons/icon_insole.png,70,70,True,,"174,900,244,970"
icon_printer_3d,icons,icons/icon_printer_3d.png,70,70,True,,"255,900,325,970"
icon_foot_data,icons,icons/icon_foot_data.png,70,70,True,,"329,900,399,970"
icon_walking_support,icons,icons/icon_walking_support.png,70,70,True,,"410,900,480,970"
icon_lightness,icons,icons/icon_lightness.png,70,70,True,,"486,900,556,970"
icon_softness,icons,icons/icon_softness.png,70,70,True,,"558,900,628,970"
icon_breathability,icons,icons/icon_breathability.png,70,70,True,,"634,900,704,970"
icon_stability,icons,icons/icon_stability.png,70,70,True,,"711,900,781,970"
icon_fit,icons,icons/icon_fit.png,70,70,True,,"785,900,855,970"
icon_research,icons,icons/icon_research.png,70,70,True,,"856,900,926,970"
icon_check,icons,icons/icon_check.png,70,70,True,,"930,900,1000,970"
icon_calendar,icons,icons/icon_calendar.png,70,70,True,,"1005,900,1075,970"
avatar_woman_01,avatars,avatars/avatar_woman_01.png,98,111,False,,"1090,724,1188,835"
avatar_woman_02,avatars,avatars/avatar_woman_02.png,95,111,False,,"1210,724,1305,835"
avatar_woman_03,avatars,avatars/avatar_woman_03.png,96,111,False,,"1314,724,1410,835"
avatar_woman_04,avatars,avatars/avatar_woman_04.png,93,111,False,,"1422,724,1515,835"
avatar_man_01,avatars,avatars/avatar_man_01.png,98,146,False,,"1090,858,1188,1004"
avatar_man_02,avatars,avatars/avatar_man_02.png,95,146,False,,"1210,858,1305,1004"
avatar_man_03,avatars,avatars/avatar_man_03.png,96,146,False,,"1314,858,1410,1004"
avatar_man_04,avatars,avatars/avatar_man_04.png,93,146,False,,"1422,858,1515,1004"
section_products_4up,sections,sections/section_products_4up.png,755,251,False,,"300,54,1055,305"
section_worldview_collage,sections,sections/section_worldview_collage.png,445,320,False,,"1075,45,1520,365"
section_comfort_4up,sections,sections/section_comfort_4up.png,443,180,False,,"12,405,455,585"
section_process_6up,sections,sections/section_process_6up.png,565,180,False,,"480,405,1045,585"
section_value_4cards,sections,sections/section_value_4cards.png,1045,135,False,,"20,640,1065,775"
section_icon_set,sections,sections/section_icon_set.png,1045,190,False,,"20,790,1065,980"
section_decorations,sections,sections/section_decorations.png,445,250,False,,"1080,415,1525,665"
section_avatar_8up,sections,sections/section_avatar_8up.png,440,310,False,,"1080,700,1520,1010"
